Year Sold,Lot Area,Year Built,Zip Code,Quality
2010,31770,1960,15,6
2010,11622,1961,15,5
2010,14267,1958,15,6
2010,11160,1968,15,7
2010,13830,1997,8,5
2010,9978,1998,8,6
2010,4920,2001,25,8
2010,5005,1992,25,8
2010,5389,1995,25,8
2010,7500,1999,8,7
2010,10000,1993,8,6
2010,7980,1992,8,6
2010,8402,1998,8,6
2010,10176,1990,8,7
2010,6820,1985,25,8
2010,53504,2003,25,8
2010,12134,1988,8,8
2010,11394,2010,25,9
2010,19138,1951,8,4
2010,13175,1978,17,6
2010,11751,1977,17,6
2010,10625,1974,17,7
2010,7500,2000,24,7
2010,11241,1970,15,6
2010,12537,1971,15,5
2010,8450,1968,15,5
2010,8400,1970,15,4
2010,10500,1971,15,4
2010,5858,1999,15,7
2010,1680,1971,2,6
2010,1680,1971,2,5
2010,1680,1971,2,6
2010,4043,1977,16,6
2010,2280,1975,16,6
2010,2280,1975,16,7
2010,2280,1978,16,6
2010,12858,2009,19,9
2010,11478,2007,19,8
2010,10159,2009,19,9
2010,12883,2009,19,8
2010,12182,2005,19,7
2010,11520,2005,19,9
2010,14122,2005,19,8
2010,10171,2004,19,7
2010,12919,2009,19,9
2010,6371,2009,19,7
2010,14300,2003,19,9
2010,13650,2002,19,8
2010,7658,2005,19,9
2010,7132,2006,19,8
2010,2628,2003,19,7
2010,18494,2005,8,6
2010,3203,2006,0,7
2010,3182,2004,0,8
2010,13300,2004,8,7
2010,7851,2002,8,6
2010,8577,2004,8,7
2010,7750,2000,8,7
2010,9505,2001,8,7
2010,14774,1999,18,9
2010,17433,1998,18,8
2010,10593,1996,18,7
2010,12256,1994,18,8
2010,11764,1999,18,8
2010,16770,1998,18,7
2010,14720,1995,18,8
2010,8987,2005,24,8
2010,9215,2009,24,7
2010,8640,2009,24,7
2010,9000,2008,24,8
2010,12552,2004,24,7
2010,10440,2005,24,6
2010,10142,2004,23,7
2010,11920,2004,23,7
2010,8880,1994,23,7
2010,8012,1980,23,6
2010,11218,1992,23,6
2010,7892,1979,23,6
2010,7175,1984,23,6
2010,9453,1993,23,7
2010,9672,1984,23,6
2010,8400,1980,23,6
2010,9800,1920,23,5
2010,8930,1978,22,6
2010,11782,1961,22,5
2010,8450,1965,22,5
2010,9819,1967,22,5
2010,7500,1963,22,5
2010,6897,1962,22,5
2010,15410,1974,22,6
2010,10186,1992,18,7
2010,13143,1993,18,8
2010,11134,1992,18,8
2010,4835,2004,24,7
2010,3515,2004,24,7
2010,3215,2004,24,7
2010,3182,2004,24,7
2010,2544,2004,24,7
2010,2544,2005,24,6
2010,4403,2009,24,7
2010,2117,2000,24,6
2010,2980,2000,24,6
2010,2572,1999,24,7
2010,2403,2003,24,7
2010,12853,2010,24,8
2010,7379,2000,24,8
2010,4420,1980,9,8
2010,3880,1978,9,8
2010,13517,1976,22,6
2010,8000,2002,24,7
2010,10456,1967,17,6
2010,10791,1993,17,6
2010,10603,1977,17,6
2010,18837,1978,17,6
2010,10421,1988,17,7
2010,9360,1972,17,6
2010,9600,1971,17,6
2010,9600,1966,15,5
2010,9790,1963,17,6
2010,9320,1959,15,4
2010,9900,1966,15,5
2010,9680,1967,15,5
